"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"1","000000000013786F","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"2","000000000007B23C","Turun ja Porin lääni","","Ei tietoa","Mies","Naimisissa"
"3","00000001002B1524","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"4","0000000000122376","Viipurin lääni","","Ei tietoa","Nainen","Naimaton"
"5","00000000000E784D","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"6","00000000001221C6","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"7","00000000000E5E68","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"8","00000000000F584F","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"9","00000000000F2B8F","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"10","00000000000EDCFC","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"11","00000000000B8941","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"12","00000000001221D0","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"13","00000000000E24A4","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"14","000000000014D58F","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"15","00000000000AC614","Viipurin lääni","","Ei tietoa","Nainen","Naimaton"
"16","00000000000D4960","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"17","00000000000EFA29","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"18","000000000009C0C7","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"19","000000000011B4F7","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"20","00000000000AF19D","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"21","00000000000D4BCC","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"22","00000000000A318F","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"23","00000000000C7329","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"24","00000000001221CB","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"25","00000000000D9C0C","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"26","00000000000BB6C5","Viipurin lääni","","Huono","Mies","Naimisissa"
"27","00000001002B156E","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"28","00000000000A9811","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"29","00000000000B52FD","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"30","00000000000B53B0","Viipurin lääni","","Ei tietoa","Nainen","Naimaton"
"31","00000000001279C2","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"32","00000000000DE186","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"33","00000000001221CA","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"34","0000000000096D9A","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"35","00000000000BB6B2","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"36","0000000000034C06","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"37","00000000000F96BF","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"38","00000000000BB67F","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"39","00000000000DFDE6","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"40","00000000001043D7","Viipurin lääni","","Huono","Mies","Naimisissa"
"41","000000000010D52D","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"42","00000000000FDCE7","Hämeen lääni","","Ei tietoa","Mies","Naimisissa"
"43","000000000013C973","Viipurin lääni","","Ei tietoa","Nainen","Leski"
"44","000000000000A6B7","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"45","000000000009D128","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
